sample_id,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,network_type,qos_class,recommended_apps
1,18.9,1.1,0.06,189.3,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
2,20.5,3.0,0.18,134.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
3,15.2,1.1,0.04,302.1,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
4,8.5,1.6,0.13,318.0,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
5,11.7,2.8,0.16,102.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
6,21.7,3.1,0.07,162.2,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
7,24.3,2.0,0.02,138.7,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
8,22.4,2.8,0.16,391.9,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
9,17.1,3.9,0.08,320.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
10,22.1,2.9,0.17,330.9,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
11,20.0,1.1,0.05,215.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
12,9.4,1.7,0.02,211.2,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
13,18.8,2.1,0.07,183.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
14,12.5,3.8,0.13,343.7,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
15,10.9,3.2,0.03,251.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
16,37.8,5.2,0.28,118.5,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
17,34.4,5.9,0.11,53.2,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
18,22.3,3.3,0.11,144.3,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
19,35.2,3.6,0.33,89.6,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
20,36.0,4.3,0.13,74.7,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
21,27.9,3.3,0.29,139.8,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
22,24.2,3.1,0.5,101.0,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
23,17.1,2.2,0.05,112.7,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
24,33.2,4.1,0.03,88.2,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
25,37.9,4.6,0.49,136.1,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
