sample_id,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,network_type,qos_class,recommended_apps
1,18.9,1.1,0.01,234.2,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
2,13.7,2.1,0.06,204.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
3,12.0,1.3,0.03,267.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
4,8.6,1.4,0.07,434.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
5,12.7,1.3,0.11,460.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
6,17.2,1.2,0.16,493.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
7,16.5,3.6,0.17,143.5,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
8,15.6,3.6,0.08,443.2,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
9,19.2,3.3,0.09,103.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
10,21.8,2.8,0.15,191.1,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
11,20.0,1.5,0.09,394.0,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
12,23.3,3.7,0.18,485.4,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
13,9.5,2.1,0.11,257.6,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
14,9.6,3.9,0.09,149.8,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
15,18.8,3.3,0.02,324.9,Fiber Gigabit,GOOD,"Cloud Gaming, 4K HDR, VoIP, AR/VR"
16,36.9,4.4,0.13,85.1,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
17,31.7,3.1,0.48,118.8,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
18,36.5,5.1,0.09,83.9,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
